time,wx,wy,yaw,pitch,roll,imu_ax,imu_ay,imu_az
1774366899.305,-167.115,0.382,0.1510,0.0418,0.0001,-0.4093,0.0012,9.7913
1774366899.420,-167.066,0.389,0.1511,0.0418,0.0001,-0.4125,0.0011,9.7913
1774366899.535,-167.016,0.397,0.1511,0.0418,0.0001,-0.4097,0.0012,9.7914
1774366899.643,-166.967,0.404,0.1512,0.0418,0.0001,-0.4097,0.0012,9.7914
1774366899.746,-166.917,0.412,0.1512,0.0418,0.0001,-0.4097,0.0013,9.7914
1774366899.867,-166.868,0.419,0.1513,0.0418,0.0001,-0.4097,0.0013,9.7914
1774366899.972,-166.819,0.427,0.1513,0.0418,0.0001,-0.4098,0.0014,9.7914
1774366900.079,-166.769,0.434,0.1514,0.0418,0.0001,-0.4098,0.0014,9.7914
1774366900.186,-166.720,0.442,0.1514,0.0418,0.0001,-0.4098,0.0014,9.7914
1774366900.299,-166.670,0.449,0.1514,0.0418,0.0001,-0.4098,0.0014,9.7914
1774366900.403,-166.621,0.457,0.1515,0.0418,0.0001,-0.4098,0.0014,9.7914
1774366900.505,-166.571,0.465,0.1515,0.0418,0.0001,-0.4098,0.0014,9.7914
1774366900.609,-166.522,0.472,0.1515,0.0418,0.0001,-0.4112,0.0014,9.7914
1774366900.712,-166.473,0.480,0.1515,0.0418,0.0001,-0.4098,0.0014,9.7914
1774366900.833,-166.423,0.487,0.1516,0.0418,0.0001,-0.4098,0.0014,9.7914
1774366900.956,-166.374,0.495,0.1516,0.0418,0.0001,-0.4098,0.0015,9.7914
1774366901.058,-166.324,0.502,0.1516,0.0419,0.0004,-0.4113,0.0044,9.7911
1774366901.163,-166.275,0.510,0.1516,0.0429,0.0004,-0.4226,0.0059,9.7905
1774366901.274,-166.225,0.517,0.1516,0.0444,0.0006,-0.4365,0.0076,9.7900
1774366901.401,-166.176,0.525,0.1517,0.0457,0.0007,-0.4480,0.0074,9.7892
1774366901.512,-166.127,0.532,0.1517,0.0467,0.0006,-0.4576,0.0055,9.7888
1774366901.620,-166.077,0.540,0.1517,0.0476,0.0005,-0.4663,0.0046,9.7888
1774366901.733,-166.028,0.548,0.1517,0.0486,0.0003,-0.4758,0.0031,9.7883
1774366901.845,-165.978,0.555,0.1517,0.0496,0.0002,-0.4856,0.0016,9.7879
1774366901.957,-165.929,0.563,0.1517,0.0507,0.0000,-0.4965,0.0002,9.7874
1774366902.077,-165.879,0.570,0.1517,0.0519,-0.0002,-0.5082,-0.0014,9.7868
1774366902.186,-165.830,0.578,0.1517,0.0530,-0.0003,-0.5196,-0.0029,9.7862
1774366902.306,-165.781,0.585,0.1517,0.0534,-0.0003,-0.3599,0.1250,9.7860
1774366902.412,-165.731,0.593,0.1518,0.0536,-0.0006,-0.5254,-0.0063,9.7858
1774366902.525,-165.682,0.600,0.1518,0.0536,-0.0008,-0.5255,-0.0076,9.7858
1774366902.632,-165.632,0.608,0.1518,0.0537,-0.0009,-0.5256,-0.0091,9.7858
1774366902.737,-165.583,0.616,0.1518,0.0537,-0.0011,-0.5257,-0.0107,9.7858
1774366902.845,-165.533,0.623,0.1518,0.0536,-0.0012,-0.5253,-0.0118,9.7859
1774366902.963,-165.484,0.631,0.1518,0.0534,-0.0012,-0.5232,-0.0118,9.7860
1774366903.069,-165.435,0.638,0.1518,0.0532,-0.0012,-0.5213,-0.0118,9.7861
1774366903.175,-165.385,0.646,0.1518,0.0530,-0.0012,-0.5194,-0.0118,9.7862
1774366903.286,-165.336,0.653,0.1518,0.0528,-0.0012,-0.5174,-0.0118,9.7863
1774366903.393,-165.286,0.661,0.1518,0.0526,-0.0012,-0.5154,-0.0118,9.7864
1774366903.502,-165.237,0.669,0.1518,0.0524,-0.0012,-0.5134,-0.0118,9.7865
1774366903.612,-165.187,0.676,0.1518,0.0522,-0.0012,-0.5113,-0.0118,9.7866
1774366903.719,-165.138,0.684,0.1518,0.0520,-0.0012,-0.5094,-0.0118,9.7867
1774366903.830,-165.089,0.691,0.1518,0.0518,-0.0012,-0.5074,-0.0117,9.7868
1774366903.934,-165.039,0.699,0.1518,0.0516,-0.0012,-0.3468,-0.0111,9.9177
1774366904.039,-164.990,0.706,0.1518,0.0516,-0.0012,-0.5055,-0.0118,9.7869
1774366904.156,-164.940,0.714,0.1518,0.0516,-0.0012,-0.5055,-0.0118,9.7869
1774366904.269,-164.891,0.721,0.1518,0.0516,-0.0012,-0.5055,-0.0118,9.7869
1774366904.376,-164.841,0.729,0.1518,0.0514,-0.0019,-0.4117,0.0545,9.7884
1774366904.479,-164.792,0.737,0.1518,0.0516,-0.0049,-0.5056,-0.0474,9.7867
1774366904.585,-164.743,0.744,0.1518,0.0480,-0.0049,-0.4705,-0.0475,9.7884
