t_wall,sim_t,vio_x,vio_y,vio_z,qx,qy,qz,qw,gt_x,gt_y
1776761691.9213767,25.7,-3.663951,16.788881,0.055426,0.704895,0.06773,-0.058099,-0.703677,-79.49786376953125,-1.2572907209396362
1776761692.0216289,25.7,-3.663951,16.788881,0.055426,0.704895,0.06773,-0.058099,-0.703677,-79.49786376953125,-1.2572907209396362
1776761692.1218734,25.7,-3.663951,16.788881,0.055426,0.704895,0.06773,-0.058099,-0.703677,-79.4166488647461,-1.2346155643463135
1776761692.222094,25.8,-3.675528,16.875042,0.054037,0.705086,0.065831,-0.056488,-0.703797,-79.4166488647461,-1.2346155643463135
1776761692.3223076,25.8,-3.675528,16.875042,0.054037,0.705086,0.065831,-0.056488,-0.703797,-79.4166488647461,-1.2346155643463135
1776761692.4225152,25.8,-3.675528,16.875042,0.054037,0.705086,0.065831,-0.056488,-0.703797,-79.4166488647461,-1.2346155643463135
1776761692.5227416,25.8,-3.675528,16.875042,0.054037,0.705086,0.065831,-0.056488,-0.703797,-79.4166488647461,-1.2346155643463135
1776761692.6229615,25.8,-3.675528,16.875042,0.054037,0.705086,0.065831,-0.056488,-0.703797,-79.4166488647461,-1.2346155643463135
1776761692.7231808,25.8,-3.675528,16.875042,0.054037,0.705086,0.065831,-0.056488,-0.703797,-79.33391571044922,-1.212315559387207
1776761692.823401,25.9,-3.687905,16.960081,0.053659,0.705135,0.064618,-0.055146,-0.703966,-79.33391571044922,-1.212315559387207
1776761692.9235935,25.9,-3.687905,16.960081,0.053659,0.705135,0.064618,-0.055146,-0.703966,-79.33391571044922,-1.212315559387207
1776761693.023806,25.9,-3.687905,16.960081,0.053659,0.705135,0.064618,-0.055146,-0.703966,-79.33391571044922,-1.212315559387207
1776761693.1239946,25.9,-3.687905,16.960081,0.053659,0.705135,0.064618,-0.055146,-0.703966,-79.33391571044922,-1.212315559387207
1776761693.2242124,25.9,-3.687905,16.960081,0.053659,0.705135,0.064618,-0.055146,-0.703966,-79.33391571044922,-1.212315559387207
1776761693.3244307,25.9,-3.687905,16.960081,0.053659,0.705135,0.064618,-0.055146,-0.703966,-79.2516098022461,-1.1920197010040283
1776761693.4246473,25.9,-3.687905,16.960081,0.053659,0.705135,0.064618,-0.055146,-0.703966,-79.2516098022461,-1.1920197010040283
1776761693.5248718,26.0,-3.70315,17.047676,0.051208,0.705282,0.062661,-0.052641,-0.704187,-79.2516098022461,-1.1920197010040283
1776761693.625046,26.0,-3.70315,17.047676,0.051208,0.705282,0.062661,-0.052641,-0.704187,-79.2516098022461,-1.1920197010040283
1776761693.7252464,26.0,-3.70315,17.047676,0.051208,0.705282,0.062661,-0.052641,-0.704187,-79.2516098022461,-1.1920197010040283
1776761693.8256452,26.0,-3.70315,17.047676,0.051208,0.705282,0.062661,-0.052641,-0.704187,-79.2516098022461,-1.1920197010040283
1776761693.926056,26.0,-3.70315,17.047676,0.051208,0.705282,0.062661,-0.052641,-0.704187,-79.2516098022461,-1.1920197010040283
1776761694.0262532,26.0,-3.70315,17.047676,0.051208,0.705282,0.062661,-0.052641,-0.704187,-79.19015502929688,-1.1772665977478027
1776761694.126477,26.1,-3.712594,17.128065,0.052193,0.70552,0.06116,-0.051018,-0.704201,-79.19015502929688,-1.1772665977478027
1776761694.2266793,26.1,-3.712594,17.128065,0.052193,0.70552,0.06116,-0.051018,-0.704201,-79.19015502929688,-1.1772665977478027
1776761694.3268864,26.1,-3.712594,17.128065,0.052193,0.70552,0.06116,-0.051018,-0.704201,-79.19015502929688,-1.1772665977478027
1776761694.4270818,26.1,-3.712594,17.128065,0.052193,0.70552,0.06116,-0.051018,-0.704201,-79.19015502929688,-1.1772665977478027
1776761694.5272872,26.1,-3.712594,17.128065,0.052193,0.70552,0.06116,-0.051018,-0.704201,-79.19015502929688,-1.1772665977478027
1776761694.6274729,26.1,-3.712594,17.128065,0.052193,0.70552,0.06116,-0.051018,-0.704201,-79.10958862304688,-1.158386468887329
1776761694.7276764,26.2,-3.72288,17.193243,0.050781,0.705697,0.058803,-0.048681,-0.704389,-79.10958862304688,-1.158386468887329
1776761694.8290012,26.2,-3.72288,17.193243,0.050781,0.705697,0.058803,-0.048681,-0.704389,-79.10958862304688,-1.158386468887329
1776761694.9292397,26.2,-3.72288,17.193243,0.050781,0.705697,0.058803,-0.048681,-0.704389,-79.10958862304688,-1.158386468887329
1776761695.0294714,26.2,-3.72288,17.193243,0.050781,0.705697,0.058803,-0.048681,-0.704389,-79.10958862304688,-1.158386468887329
