t_wall,sim_t,vio_x,vio_y,vio_z,qx,qy,qz,qw,gt_x,gt_y
1776754746.793979,25.8,-3.765033,17.119576,0.260881,0.704303,0.066514,-0.05808,-0.704386,-79.4166488647461,-1.2346155643463135
1776754746.8942215,25.8,-3.765033,17.119576,0.260881,0.704303,0.066514,-0.05808,-0.704386,-79.4166488647461,-1.2346155643463135
1776754746.9944308,25.8,-3.765033,17.119576,0.260881,0.704303,0.066514,-0.05808,-0.704386,-79.4166488647461,-1.2346155643463135
1776754747.0946171,25.8,-3.765033,17.119576,0.260881,0.704303,0.066514,-0.05808,-0.704386,-79.33391571044922,-1.212315559387207
1776754747.1948066,25.9,-3.777387,17.205914,0.262119,0.704433,0.065242,-0.056894,-0.704472,-79.33391571044922,-1.212315559387207
1776754747.2950146,25.9,-3.777387,17.205914,0.262119,0.704433,0.065242,-0.056894,-0.704472,-79.33391571044922,-1.212315559387207
1776754747.3953633,25.9,-3.777387,17.205914,0.262119,0.704433,0.065242,-0.056894,-0.704472,-79.33391571044922,-1.212315559387207
1776754747.4956017,25.9,-3.777387,17.205914,0.262119,0.704433,0.065242,-0.056894,-0.704472,-79.33391571044922,-1.212315559387207
1776754747.5958302,25.9,-3.777387,17.205914,0.262119,0.704433,0.065242,-0.056894,-0.704472,-79.33391571044922,-1.212315559387207
1776754747.6960323,25.9,-3.777387,17.205914,0.262119,0.704433,0.065242,-0.056894,-0.704472,-79.2516098022461,-1.1920197010040283
1776754747.796198,25.9,-3.777387,17.205914,0.262119,0.704433,0.065242,-0.056894,-0.704472,-79.2516098022461,-1.1920197010040283
1776754747.8964083,26.0,-3.791778,17.295609,0.259239,0.704615,0.063156,-0.054485,-0.70467,-79.2516098022461,-1.1920197010040283
1776754747.9965816,26.0,-3.791778,17.295609,0.259239,0.704615,0.063156,-0.054485,-0.70467,-79.2516098022461,-1.1920197010040283
1776754748.0967917,26.0,-3.791778,17.295609,0.259239,0.704615,0.063156,-0.054485,-0.70467,-79.2516098022461,-1.1920197010040283
