1774445312.999,-167.4968,0.1782,0.0973
1774445313.006,-167.4928,0.1786,0.0973
1774445313.026,-167.4827,0.1796,0.0974
1774445313.043,-167.4747,0.1804,0.0974
1774445313.061,-167.4646,0.1814,0.0975
1774445313.083,-167.4545,0.1824,0.0975
1774445313.118,-167.4485,0.1830,0.0976
1774445313.121,-167.4405,0.1838,0.0976
1774445313.139,-167.4304,0.1848,0.0976
1774445313.159,-167.4203,0.1857,0.0977
1774445313.216,-167.4103,0.1867,0.0978
1774445313.222,-167.4023,0.1875,0.0979
1774445313.312,-167.3963,0.1881,0.0980
1774445313.315,-167.3903,0.1887,0.0980
1774445313.321,-167.3802,0.1897,0.0981
1774445313.322,-167.3702,0.1907,0.0982
1774445313.323,-167.3601,0.1917,0.0982
1774445313.324,-167.3521,0.1924,0.0984
1774445313.354,-167.3461,0.1930,0.0986
1774445313.357,-167.3401,0.1935,0.0989
1774445313.373,-167.3302,0.1944,0.0994
1774445313.395,-167.3202,0.1952,0.0999
1774445313.415,-167.3103,0.1961,0.1004
1774445313.432,-167.3023,0.1968,0.1008
1774445313.462,-167.2964,0.1974,0.1010
1774445313.473,-167.2884,0.1981,0.1014
1774445313.494,-167.2784,0.1990,0.1018
1774445313.513,-167.2685,0.2000,0.1022
1774445313.533,-167.2585,0.2009,0.1026
1774445313.553,-167.2505,0.2016,0.1029
1774445313.587,-167.2446,0.2022,0.1032
1774445313.591,-167.2386,0.2027,0.1035
1774445313.610,-167.2287,0.2036,0.1040
1774445313.691,-167.2187,0.2046,0.1044
1774445313.702,-167.2088,0.2055,0.1048
1774445313.703,-167.2008,0.2062,0.1051
1774445313.704,-167.1969,0.2066,0.1053
1774445313.707,-167.1929,0.2070,0.1055
1774445313.726,-167.1829,0.2080,0.1058
1774445313.746,-167.1730,0.2089,0.1062
1774445313.767,-167.1631,0.2099,0.1066
1774445313.785,-167.1551,0.2106,0.1069
1774445313.840,-167.1491,0.2112,0.1072
1774445313.843,-167.1432,0.2118,0.1074
1774445313.844,-167.1352,0.2126,0.1077
1774445313.860,-167.1253,0.2136,0.1081
1774445313.881,-167.1154,0.2146,0.1084
1774445313.901,-167.1054,0.2155,0.1088
1774445313.942,-167.0995,0.2161,0.1090
1774445313.944,-167.0935,0.2167,0.1092
1774445313.960,-167.0836,0.2177,0.1096
1774445313.980,-167.0736,0.2188,0.1099
1774445314.000,-167.0637,0.2198,0.1103
1774445314.021,-167.0537,0.2208,0.1106
1774445314.064,-167.0458,0.2216,0.1109
1774445314.065,-167.0398,0.2222,0.1110
1774445314.085,-167.0299,0.2232,0.1114
1774445314.105,-167.0200,0.2243,0.1117
1774445314.125,-167.0100,0.2253,0.1120
1774445314.144,-167.0021,0.2261,0.1123
1774445314.165,-166.9961,0.2268,0.1124
1774445314.181,-166.9882,0.2276,0.1127
1774445314.202,-166.9782,0.2286,0.1130
1774445314.221,-166.9683,0.2297,0.1133
1774445314.241,-166.9584,0.2307,0.1136
1774445314.262,-166.9524,0.2314,0.1138
1774445314.282,-166.9465,0.2320,0.1139
1774445314.298,-166.9405,0.2327,0.1141
1774445314.318,-166.9306,0.2337,0.1144
1774445314.339,-166.9206,0.2348,0.1147
1774445314.358,-166.9107,0.2359,0.1150
