seq,wall_ts,x,y
0,1776895900.952,61.300,-13.400
1,1776895900.952,61.246,-13.361
2,1776895900.952,61.249,-13.411
3,1776895900.952,61.209,-13.381
4,1776895900.952,61.171,-13.348
5,1776895900.952,61.163,-13.299
6,1776895900.952,61.156,-13.250
7,1776895900.952,61.147,-13.200
8,1776895900.952,61.107,-13.170
9,1776895900.952,61.070,-13.137
10,1776895900.952,61.066,-13.087
11,1776895900.952,61.062,-13.037
12,1776895900.952,61.058,-12.987
13,1776895900.952,61.054,-12.937
14,1776895900.952,61.051,-12.887
15,1776895900.952,61.046,-12.838
16,1776895900.952,61.040,-12.788
17,1776895900.952,61.031,-12.739
18,1776895900.952,61.019,-12.690
19,1776895900.952,61.001,-12.644
20,1776895900.952,60.983,-12.597
21,1776895900.952,60.964,-12.551
22,1776895900.952,60.945,-12.505
23,1776895900.952,60.922,-12.460
24,1776895900.952,60.902,-12.414
25,1776895900.952,60.870,-12.376
26,1776895900.952,60.846,-12.332
27,1776895900.952,60.807,-12.300
28,1776895900.952,60.774,-12.262
29,1776895900.952,60.749,-12.219
30,1776895900.952,60.739,-12.170
31,1776895900.952,60.728,-12.121
32,1776895900.952,60.719,-12.072
33,1776895900.952,60.700,-12.026
34,1776895900.952,60.667,-11.988
35,1776895900.952,60.642,-11.945
36,1776895900.952,60.628,-11.897
37,1776895900.952,60.611,-11.850
38,1776895900.952,60.589,-11.805
39,1776895900.952,60.624,-11.770
40,1776895900.952,60.653,-11.729
41,1776895900.952,60.662,-11.680
42,1776895900.952,60.670,-11.631
43,1776895900.952,60.675,-11.581
44,1776895900.952,60.680,-11.531
45,1776895900.952,60.681,-11.481
46,1776895900.952,60.684,-11.431
47,1776895900.952,60.687,-11.381
48,1776895900.952,60.692,-11.332
49,1776895900.952,60.697,-11.282
50,1776895900.952,60.711,-11.234
51,1776895900.952,60.732,-11.188
52,1776895900.952,60.754,-11.144
53,1776895900.952,60.778,-11.100
54,1776895900.952,60.803,-11.056
55,1776895900.952,60.830,-11.015
56,1776895900.952,60.860,-10.974
57,1776895900.952,60.889,-10.933
58,1776895900.952,60.907,-10.887
59,1776895900.952,60.927,-10.841
60,1776895900.952,60.948,-10.796
61,1776895900.952,60.970,-10.751
62,1776895900.952,60.991,-10.705
63,1776895900.952,61.011,-10.660
64,1776895900.952,61.032,-10.614
65,1776895900.952,61.053,-10.569
66,1776895900.952,61.075,-10.524
67,1776895900.952,61.097,-10.479
68,1776895900.952,61.123,-10.436
69,1776895900.952,61.146,-10.392
70,1776895900.952,61.169,-10.348
71,1776895900.952,61.192,-10.303
72,1776895900.952,61.209,-10.256
73,1776895900.952,61.227,-10.209
74,1776895900.952,61.244,-10.163
75,1776895900.952,61.263,-10.116
76,1776895900.952,61.285,-10.071
77,1776895900.952,61.302,-10.024
78,1776895900.952,61.323,-9.979
79,1776895900.952,61.345,-9.934
80,1776895900.952,61.365,-9.888
81,1776895900.952,61.405,-9.857
82,1776895900.952,61.442,-9.825
83,1776895900.952,61.479,-9.791
84,1776895900.952,61.503,-9.747
85,1776895900.952,61.515,-9.698
86,1776895900.952,61.533,-9.652
87,1776895900.952,61.558,-9.608
88,1776895900.952,61.581,-9.564
89,1776895900.952,61.608,-9.522
90,1776895900.952,61.605,-9.472
91,1776895900.952,61.606,-9.422
92,1776895900.952,61.619,-9.374
93,1776895900.952,61.637,-9.327
94,1776895900.952,61.658,-9.282
95,1776895900.952,61.700,-9.256
96,1776895900.952,61.742,-9.228
97,1776895900.952,61.761,-9.182
98,1776895900.952,61.791,-9.142
99,1776895900.952,61.807,-9.094
100,1776895900.952,61.827,-9.049
101,1776895900.952,61.855,-9.007
102,1776895900.952,61.905,-9.005
103,1776895900.952,61.930,-8.962
104,1776895900.952,61.963,-8.924
105,1776895900.952,61.998,-8.889
