seq,wall_ts,x,y
0,1776895905.993,61.100,-12.500
1,1776895905.993,61.029,-12.462
2,1776895905.993,60.988,-12.434
3,1776895905.993,60.959,-12.393
4,1776895905.993,60.921,-12.360
5,1776895905.993,60.883,-12.328
6,1776895905.993,60.852,-12.289
7,1776895905.993,60.812,-12.259
8,1776895905.993,60.774,-12.226
9,1776895905.993,60.760,-12.178
10,1776895905.993,60.745,-12.131
11,1776895905.993,60.748,-12.081
12,1776895905.993,60.760,-12.032
13,1776895905.993,60.727,-11.994
14,1776895905.993,60.691,-11.959
15,1776895905.993,60.662,-11.919
16,1776895905.993,60.650,-11.870
17,1776895905.993,60.638,-11.822
18,1776895905.993,60.636,-11.772
19,1776895905.993,60.632,-11.722
20,1776895905.993,60.625,-11.673
21,1776895905.993,60.609,-11.625
22,1776895905.993,60.583,-11.583
23,1776895905.993,60.624,-11.555
24,1776895905.993,60.662,-11.522
25,1776895905.993,60.670,-11.473
26,1776895905.993,60.681,-11.424
27,1776895905.993,60.693,-11.375
28,1776895905.993,60.710,-11.329
29,1776895905.993,60.734,-11.285
30,1776895905.993,60.760,-11.242
31,1776895905.993,60.785,-11.199
32,1776895905.993,60.812,-11.156
33,1776895905.993,60.838,-11.114
34,1776895905.993,60.863,-11.070
35,1776895905.993,60.888,-11.027
36,1776895905.993,60.907,-10.981
37,1776895905.993,60.929,-10.936
38,1776895905.993,60.955,-10.893
39,1776895905.993,60.982,-10.851
40,1776895905.993,61.006,-10.807
41,1776895905.993,61.032,-10.765
42,1776895905.993,61.061,-10.724
43,1776895905.993,61.090,-10.683
44,1776895905.993,61.110,-10.637
45,1776895905.993,61.130,-10.591
46,1776895905.993,61.149,-10.545
47,1776895905.993,61.169,-10.500
48,1776895905.993,61.190,-10.454
49,1776895905.993,61.217,-10.412
50,1776895905.993,61.244,-10.370
51,1776895905.993,61.271,-10.328
52,1776895905.993,61.298,-10.286
53,1776895905.993,61.332,-10.249
54,1776895905.993,61.364,-10.210
55,1776895905.993,61.391,-10.168
56,1776895905.993,61.404,-10.120
57,1776895905.993,61.408,-10.070
58,1776895905.993,61.417,-10.021
59,1776895905.993,61.436,-9.975
60,1776895905.993,61.457,-9.929
61,1776895905.993,61.480,-9.885
62,1776895905.993,61.506,-9.842
63,1776895905.993,61.524,-9.795
64,1776895905.993,61.539,-9.748
65,1776895905.993,61.534,-9.698
66,1776895905.993,61.532,-9.648
67,1776895905.993,61.540,-9.599
68,1776895905.993,61.552,-9.550
69,1776895905.993,61.570,-9.504
70,1776895905.993,61.590,-9.458
71,1776895905.993,61.604,-9.410
72,1776895905.993,61.622,-9.363
