seq,wall_ts,x,y
0,1776895815.114,73.400,-16.800
1,1776895815.114,73.321,-16.859
2,1776895815.114,73.279,-16.887
3,1776895815.114,73.241,-16.919
4,1776895815.114,73.203,-16.951
5,1776895815.114,73.162,-16.980
6,1776895815.114,73.123,-17.010
7,1776895815.114,73.079,-17.035
8,1776895815.114,73.032,-17.051
9,1776895815.114,72.983,-17.061
10,1776895815.114,72.934,-17.071
11,1776895815.114,72.887,-17.090
12,1776895815.114,72.843,-17.113
13,1776895815.114,72.798,-17.136
14,1776895815.114,72.750,-17.149
15,1776895815.114,72.700,-17.152
16,1776895815.114,72.650,-17.155
17,1776895815.114,72.600,-17.158
18,1776895815.114,72.551,-17.162
19,1776895815.114,72.501,-17.168
20,1776895815.114,72.451,-17.172
21,1776895815.114,72.401,-17.174
22,1776895815.114,72.351,-17.176
23,1776895815.114,72.301,-17.178
24,1776895815.114,72.251,-17.179
25,1776895815.114,72.201,-17.179
26,1776895815.114,72.151,-17.180
27,1776895815.114,72.101,-17.180
28,1776895815.114,72.051,-17.181
29,1776895815.114,72.001,-17.181
30,1776895815.114,71.951,-17.182
31,1776895815.114,71.901,-17.182
32,1776895815.114,71.851,-17.182
33,1776895815.114,71.801,-17.183
34,1776895815.114,71.751,-17.183
35,1776895815.114,71.701,-17.183
36,1776895815.114,71.651,-17.183
37,1776895815.114,71.601,-17.184
38,1776895815.114,71.551,-17.184
39,1776895815.114,71.501,-17.184
40,1776895815.114,71.451,-17.184
41,1776895815.114,71.401,-17.184
42,1776895815.114,71.351,-17.184
43,1776895815.114,71.301,-17.185
44,1776895815.114,71.251,-17.185
45,1776895815.114,71.201,-17.185
46,1776895815.114,71.151,-17.185
47,1776895815.114,71.101,-17.185
48,1776895815.114,71.051,-17.185
49,1776895815.114,71.001,-17.185
50,1776895815.114,70.951,-17.185
51,1776895815.114,70.901,-17.184
52,1776895815.114,70.851,-17.182
53,1776895815.114,70.802,-17.172
54,1776895815.114,70.753,-17.163
55,1776895815.114,70.703,-17.161
56,1776895815.114,70.653,-17.159
57,1776895815.114,70.603,-17.159
58,1776895815.114,70.553,-17.159
59,1776895815.114,70.503,-17.160
60,1776895815.114,70.453,-17.160
61,1776895815.114,70.403,-17.160
62,1776895815.114,70.353,-17.160
63,1776895815.114,70.303,-17.160
64,1776895815.114,70.253,-17.160
65,1776895815.114,70.203,-17.160
66,1776895815.114,70.153,-17.160
67,1776895815.114,70.103,-17.160
68,1776895815.114,70.053,-17.160
69,1776895815.114,70.003,-17.160
70,1776895815.114,69.953,-17.160
71,1776895815.114,69.903,-17.160
72,1776895815.114,69.853,-17.160
73,1776895815.114,69.803,-17.160
74,1776895815.114,69.753,-17.160
75,1776895815.114,69.703,-17.161
76,1776895815.114,69.653,-17.161
77,1776895815.114,69.603,-17.161
78,1776895815.114,69.553,-17.161
79,1776895815.114,69.503,-17.161
80,1776895815.114,69.453,-17.161
81,1776895815.114,69.403,-17.161
82,1776895815.114,69.353,-17.161
83,1776895815.114,69.303,-17.161
84,1776895815.114,69.253,-17.161
85,1776895815.114,69.203,-17.161
86,1776895815.114,69.153,-17.161
87,1776895815.114,69.103,-17.161
88,1776895815.114,69.053,-17.161
89,1776895815.114,69.003,-17.161
90,1776895815.114,68.953,-17.161
91,1776895815.114,68.903,-17.161
92,1776895815.114,68.853,-17.161
93,1776895815.114,68.803,-17.162
94,1776895815.114,68.753,-17.162
95,1776895815.114,68.703,-17.162
96,1776895815.114,68.653,-17.162
97,1776895815.114,68.603,-17.162
98,1776895815.114,68.553,-17.163
99,1776895815.114,68.503,-17.163
100,1776895815.114,68.453,-17.164
101,1776895815.114,68.403,-17.164
102,1776895815.114,68.353,-17.165
103,1776895815.114,68.303,-17.166
104,1776895815.114,68.253,-17.167
105,1776895815.114,68.203,-17.169
106,1776895815.114,68.153,-17.171
107,1776895815.114,68.103,-17.173
108,1776895815.114,68.053,-17.176
109,1776895815.114,68.004,-17.179
110,1776895815.114,67.954,-17.184
111,1776895815.114,67.904,-17.189
112,1776895815.114,67.854,-17.195
113,1776895815.114,67.805,-17.203
114,1776895815.114,67.755,-17.198
115,1776895815.114,67.705,-17.193
116,1776895815.114,67.656,-17.187
117,1776895815.114,67.606,-17.181
118,1776895815.114,67.557,-17.175
119,1776895815.114,67.507,-17.168
