seq,wall_ts,x,y
0,1776895946.381,65.900,-7.700
1,1776895946.381,65.980,-7.700
2,1776895946.381,66.030,-7.700
3,1776895946.381,66.080,-7.700
4,1776895946.381,66.130,-7.700
5,1776895946.381,66.180,-7.700
6,1776895946.381,66.230,-7.700
7,1776895946.381,66.280,-7.700
8,1776895946.381,66.330,-7.700
9,1776895946.381,66.380,-7.700
10,1776895946.381,66.430,-7.700
11,1776895946.381,66.480,-7.700
12,1776895946.381,66.530,-7.700
13,1776895946.381,66.580,-7.700
14,1776895946.381,66.630,-7.700
15,1776895946.381,66.680,-7.700
16,1776895946.381,66.730,-7.700
17,1776895946.381,66.780,-7.699
18,1776895946.381,66.830,-7.699
19,1776895946.381,66.880,-7.699
20,1776895946.381,66.930,-7.699
21,1776895946.381,66.980,-7.699
22,1776895946.381,67.030,-7.699
23,1776895946.381,67.080,-7.699
24,1776895946.381,67.130,-7.699
25,1776895946.381,67.180,-7.699
26,1776895946.381,67.230,-7.699
27,1776895946.381,67.280,-7.698
28,1776895946.381,67.330,-7.698
29,1776895946.381,67.380,-7.698
30,1776895946.381,67.430,-7.698
31,1776895946.381,67.480,-7.698
32,1776895946.381,67.530,-7.698
33,1776895946.381,67.580,-7.697
34,1776895946.381,67.630,-7.697
35,1776895946.381,67.680,-7.697
36,1776895946.381,67.730,-7.697
37,1776895946.381,67.780,-7.697
38,1776895946.381,67.830,-7.696
39,1776895946.381,67.880,-7.696
40,1776895946.381,67.930,-7.696
41,1776895946.381,67.980,-7.696
42,1776895946.381,68.030,-7.695
43,1776895946.381,68.080,-7.695
44,1776895946.381,68.130,-7.695
45,1776895946.381,68.180,-7.695
46,1776895946.381,68.230,-7.694
47,1776895946.381,68.280,-7.694
48,1776895946.381,68.330,-7.694
49,1776895946.381,68.380,-7.693
50,1776895946.381,68.430,-7.693
51,1776895946.381,68.480,-7.693
52,1776895946.381,68.530,-7.692
53,1776895946.381,68.580,-7.692
54,1776895946.381,68.630,-7.692
55,1776895946.381,68.680,-7.691
56,1776895946.381,68.730,-7.691
57,1776895946.381,68.780,-7.690
58,1776895946.381,68.830,-7.690
59,1776895946.381,68.880,-7.690
60,1776895946.381,68.930,-7.689
61,1776895946.381,68.980,-7.689
62,1776895946.381,69.030,-7.688
63,1776895946.381,69.080,-7.688
64,1776895946.381,69.130,-7.687
65,1776895946.381,69.180,-7.687
66,1776895946.381,69.230,-7.686
67,1776895946.381,69.280,-7.686
68,1776895946.381,69.330,-7.685
69,1776895946.381,69.380,-7.685
70,1776895946.381,69.430,-7.684
71,1776895946.381,69.480,-7.684
72,1776895946.381,69.530,-7.683
73,1776895946.381,69.580,-7.682
74,1776895946.381,69.630,-7.682
75,1776895946.381,69.680,-7.681
76,1776895946.381,69.730,-7.680
77,1776895946.381,69.780,-7.680
78,1776895946.381,69.830,-7.679
79,1776895946.381,69.880,-7.678
80,1776895946.381,69.930,-7.677
81,1776895946.381,69.980,-7.677
82,1776895946.381,70.030,-7.676
83,1776895946.381,70.080,-7.675
84,1776895946.381,70.130,-7.674
85,1776895946.381,70.180,-7.673
86,1776895946.381,70.230,-7.673
87,1776895946.381,70.280,-7.672
88,1776895946.381,70.330,-7.671
89,1776895946.381,70.380,-7.670
90,1776895946.381,70.430,-7.669
91,1776895946.381,70.480,-7.668
92,1776895946.381,70.530,-7.667
93,1776895946.381,70.580,-7.666
94,1776895946.381,70.629,-7.656
95,1776895946.381,70.678,-7.652
96,1776895946.381,70.724,-7.671
97,1776895946.381,70.768,-7.695
98,1776895946.381,70.815,-7.714
99,1776895946.381,70.862,-7.729
100,1776895946.381,70.911,-7.740
101,1776895946.381,70.960,-7.750
102,1776895946.381,71.009,-7.758
103,1776895946.381,71.059,-7.765
104,1776895946.381,71.109,-7.771
105,1776895946.381,71.158,-7.776
106,1776895946.381,71.208,-7.780
107,1776895946.381,71.258,-7.785
108,1776895946.381,71.308,-7.789
109,1776895946.381,71.358,-7.792
110,1776895946.381,71.408,-7.796
111,1776895946.381,71.457,-7.799
112,1776895946.381,71.507,-7.802
113,1776895946.381,71.557,-7.806
114,1776895946.381,71.607,-7.809
115,1776895946.381,71.657,-7.813
116,1776895946.381,71.707,-7.817
117,1776895946.381,71.757,-7.821
118,1776895946.381,71.806,-7.825
119,1776895946.381,71.856,-7.830
120,1776895946.381,71.906,-7.834
121,1776895946.381,71.956,-7.838
122,1776895946.381,72.006,-7.843
123,1776895946.381,72.055,-7.847
124,1776895946.381,72.105,-7.851
125,1776895946.381,72.155,-7.856
126,1776895946.381,72.205,-7.861
127,1776895946.381,72.255,-7.865
128,1776895946.381,72.304,-7.870
129,1776895946.381,72.354,-7.876
130,1776895946.381,72.404,-7.881
131,1776895946.381,72.453,-7.887
132,1776895946.381,72.503,-7.893
133,1776895946.381,72.553,-7.899
134,1776895946.381,72.602,-7.910
135,1776895946.381,72.649,-7.924
136,1776895946.381,72.695,-7.944
137,1776895946.381,72.743,-7.960
138,1776895946.381,72.786,-7.985
139,1776895946.381,72.830,-8.010
140,1776895946.381,72.871,-8.038
141,1776895946.381,72.907,-8.073
142,1776895946.381,72.944,-8.106
143,1776895946.381,72.981,-8.139
144,1776895946.381,73.019,-8.172
145,1776895946.381,73.057,-8.205
146,1776895946.381,73.094,-8.238
147,1776895946.381,73.131,-8.272
148,1776895946.381,73.168,-8.305
149,1776895946.381,73.205,-8.339
150,1776895946.381,73.242,-8.373
151,1776895946.381,73.278,-8.407
152,1776895946.381,73.315,-8.441
153,1776895946.381,73.351,-8.475
154,1776895946.381,73.388,-8.510
155,1776895946.381,73.424,-8.544
156,1776895946.381,73.460,-8.579
157,1776895946.381,73.496,-8.614
158,1776895946.381,73.532,-8.648
159,1776895946.381,73.568,-8.683
160,1776895946.381,73.604,-8.718
161,1776895946.381,73.640,-8.752
162,1776895946.381,73.676,-8.787
163,1776895946.381,73.712,-8.822
164,1776895946.381,73.748,-8.857
165,1776895946.381,73.784,-8.892
166,1776895946.381,73.819,-8.926
167,1776895946.381,73.855,-8.961
168,1776895946.381,73.891,-8.996
169,1776895946.381,73.927,-9.031
170,1776895946.381,73.963,-9.066
171,1776895946.381,73.999,-9.101
172,1776895946.381,74.034,-9.136
173,1776895946.381,74.070,-9.171
174,1776895946.381,74.106,-9.205
175,1776895946.381,74.142,-9.240
176,1776895946.381,74.178,-9.275
