seq,wall_ts,x,y
0,1776895765.192,71.100,-22.200
1,1776895765.192,71.089,-22.104
2,1776895765.192,71.091,-22.054
3,1776895765.192,71.092,-22.004
4,1776895765.192,71.115,-21.960
5,1776895765.192,71.140,-21.917
6,1776895765.192,71.165,-21.873
7,1776895765.192,71.191,-21.831
8,1776895765.192,71.217,-21.788
9,1776895765.192,71.244,-21.746
10,1776895765.192,71.272,-21.704
11,1776895765.192,71.300,-21.663
12,1776895765.192,71.329,-21.622
13,1776895765.192,71.374,-21.600
14,1776895765.192,71.403,-21.559
15,1776895765.192,71.432,-21.518
16,1776895765.192,71.476,-21.494
17,1776895765.192,71.504,-21.453
18,1776895765.192,71.533,-21.412
19,1776895765.192,71.576,-21.387
20,1776895765.192,71.607,-21.348
21,1776895765.192,71.638,-21.308
22,1776895765.192,71.681,-21.284
23,1776895765.192,71.714,-21.245
24,1776895765.192,71.745,-21.206
25,1776895765.192,71.788,-21.180
26,1776895765.192,71.827,-21.149
27,1776895765.192,71.862,-21.114
28,1776895765.192,71.888,-21.071
29,1776895765.192,71.930,-21.044
30,1776895765.192,71.963,-21.006
31,1776895765.192,72.009,-20.987
32,1776895765.192,72.052,-20.962
33,1776895765.192,72.090,-20.929
34,1776895765.192,72.083,-20.880
35,1776895765.192,72.125,-20.852
36,1776895765.192,72.157,-20.814
37,1776895765.192,72.204,-20.796
38,1776895765.192,72.248,-20.773
39,1776895765.192,72.287,-20.742
40,1776895765.192,72.318,-20.702
41,1776895765.192,72.344,-20.660
42,1776895765.192,72.372,-20.618
43,1776895765.192,72.400,-20.577
44,1776895765.192,72.428,-20.536
45,1776895765.192,72.458,-20.495
46,1776895765.192,72.488,-20.455
47,1776895765.192,72.518,-20.415
48,1776895765.192,72.547,-20.375
49,1776895765.192,72.577,-20.335
50,1776895765.192,72.604,-20.292
51,1776895765.192,72.632,-20.251
52,1776895765.192,72.661,-20.210
53,1776895765.192,72.691,-20.171
54,1776895765.192,72.721,-20.130
55,1776895765.192,72.753,-20.092
56,1776895765.192,72.786,-20.054
57,1776895765.192,72.818,-20.016
58,1776895765.192,72.858,-19.986
59,1776895765.192,72.901,-19.961
60,1776895765.192,72.940,-19.929
61,1776895765.192,72.963,-19.885
62,1776895765.192,73.010,-19.867
63,1776895765.192,73.053,-19.841
64,1776895765.192,73.088,-19.805
65,1776895765.192,73.133,-19.785
66,1776895765.192,73.175,-19.758
67,1776895765.192,73.209,-19.720
68,1776895765.192,73.254,-19.700
69,1776895765.192,73.297,-19.674
70,1776895765.192,73.336,-19.642
71,1776895765.192,73.373,-19.609
72,1776895765.192,73.420,-19.591
73,1776895765.192,73.465,-19.571
74,1776895765.192,73.511,-19.551
75,1776895765.192,73.553,-19.524
76,1776895765.192,73.590,-19.490
77,1776895765.192,73.637,-19.472
78,1776895765.192,73.681,-19.448
79,1776895765.192,73.692,-19.399
80,1776895765.192,73.700,-19.350
81,1776895765.192,73.700,-19.300
82,1776895765.192,73.700,-19.200
83,1776895765.192,73.623,-19.127
