seq,wall_ts,x,y
0,1776895875.699,61.100,-14.000
1,1776895875.699,61.162,-14.011
2,1776895875.699,61.211,-14.017
3,1776895875.699,61.255,-13.992
4,1776895875.699,61.298,-13.967
5,1776895875.699,61.342,-13.943
6,1776895875.699,61.386,-13.919
7,1776895875.699,61.419,-13.882
8,1776895875.699,61.457,-13.849
9,1776895875.699,61.499,-13.823
10,1776895875.699,61.522,-13.778
11,1776895875.699,61.553,-13.739
12,1776895875.699,61.594,-13.710
13,1776895875.699,61.618,-13.666
14,1776895875.699,61.651,-13.628
15,1776895875.699,61.692,-13.600
16,1776895875.699,61.717,-13.556
17,1776895875.699,61.750,-13.519
18,1776895875.699,61.791,-13.491
19,1776895875.699,61.817,-13.448
20,1776895875.699,61.852,-13.412
21,1776895875.699,61.893,-13.384
22,1776895875.699,61.919,-13.341
23,1776895875.699,61.952,-13.304
24,1776895875.699,61.994,-13.276
25,1776895875.699,62.038,-13.253
26,1776895875.699,62.082,-13.229
27,1776895875.699,62.115,-13.191
28,1776895875.699,62.154,-13.161
29,1776895875.699,62.203,-13.148
30,1776895875.699,62.251,-13.134
31,1776895875.699,62.300,-13.139
32,1776895875.699,62.350,-13.145
33,1776895875.699,62.399,-13.153
34,1776895875.699,62.449,-13.157
35,1776895875.699,62.499,-13.160
36,1776895875.699,62.549,-13.161
37,1776895875.699,62.599,-13.162
38,1776895875.699,62.649,-13.162
39,1776895875.699,62.699,-13.161
40,1776895875.699,62.749,-13.160
41,1776895875.699,62.799,-13.158
42,1776895875.699,62.849,-13.155
43,1776895875.699,62.899,-13.152
44,1776895875.699,62.948,-13.142
45,1776895875.699,62.998,-13.136
46,1776895875.699,63.046,-13.148
47,1776895875.699,63.094,-13.163
48,1776895875.699,63.116,-13.208
49,1776895875.699,63.154,-13.176
50,1776895875.699,63.203,-13.166
51,1776895875.699,63.252,-13.156
52,1776895875.699,63.301,-13.149
53,1776895875.699,63.351,-13.141
54,1776895875.699,63.400,-13.132
55,1776895875.699,63.449,-13.125
56,1776895875.699,63.485,-13.090
57,1776895875.699,63.534,-13.081
58,1776895875.699,63.582,-13.068
59,1776895875.699,63.628,-13.048
60,1776895875.699,63.673,-13.026
61,1776895875.699,63.717,-13.003
62,1776895875.699,63.760,-12.976
63,1776895875.699,63.802,-12.950
64,1776895875.699,63.844,-12.922
65,1776895875.699,63.885,-12.894
66,1776895875.699,63.927,-12.868
67,1776895875.699,63.969,-12.839
68,1776895875.699,64.009,-12.810
69,1776895875.699,64.050,-12.782
70,1776895875.699,64.090,-12.752
71,1776895875.699,64.129,-12.720
72,1776895875.699,64.164,-12.685
73,1776895875.699,64.200,-12.649
74,1776895875.699,64.232,-12.612
75,1776895875.699,64.262,-12.571
76,1776895875.699,64.293,-12.532
77,1776895875.699,64.316,-12.487
78,1776895875.699,64.338,-12.443
79,1776895875.699,64.356,-12.396
80,1776895875.699,64.376,-12.350
81,1776895875.699,64.413,-12.316
82,1776895875.699,64.449,-12.282
83,1776895875.699,64.484,-12.246
84,1776895875.699,64.521,-12.212
85,1776895875.699,64.557,-12.178
86,1776895875.699,64.590,-12.140
87,1776895875.699,64.611,-12.095
88,1776895875.699,64.633,-12.050
89,1776895875.699,64.655,-12.005
90,1776895875.699,64.677,-11.960
91,1776895875.699,64.699,-11.915
92,1776895875.699,64.709,-11.866
93,1776895875.699,64.721,-11.818
94,1776895875.699,64.734,-11.770
95,1776895875.699,64.750,-11.722
96,1776895875.699,64.764,-11.674
97,1776895875.699,64.801,-11.640
98,1776895875.699,64.831,-11.601
99,1776895875.699,64.845,-11.552
100,1776895875.699,64.862,-11.505
101,1776895875.699,64.881,-11.459
102,1776895875.699,64.910,-11.419
