seq,wall_ts,x,y
0,1776895790.428,73.700,-19.200
1,1776895790.428,73.751,-19.280
2,1776895790.428,73.750,-19.230
3,1776895790.428,73.751,-19.280
4,1776895790.428,73.750,-19.230
5,1776895790.428,73.750,-19.280
6,1776895790.428,73.751,-19.230
7,1776895790.428,73.750,-19.280
8,1776895790.428,73.751,-19.230
9,1776895790.428,73.749,-19.280
10,1776895790.428,73.752,-19.230
11,1776895790.428,73.749,-19.280
12,1776895790.428,73.752,-19.230
13,1776895790.428,73.748,-19.280
14,1776895790.428,73.753,-19.230
15,1776895790.428,73.747,-19.279
16,1776895790.428,73.753,-19.230
17,1776895790.428,73.746,-19.279
18,1776895790.428,73.754,-19.230
19,1776895790.428,73.745,-19.279
20,1776895790.428,73.755,-19.230
21,1776895790.428,73.744,-19.279
22,1776895790.428,73.756,-19.230
23,1776895790.428,73.743,-19.279
24,1776895790.428,73.757,-19.231
25,1776895790.428,73.742,-19.278
26,1776895790.428,73.758,-19.231
27,1776895790.428,73.740,-19.278
28,1776895790.428,73.759,-19.231
29,1776895790.428,73.739,-19.277
30,1776895790.428,73.760,-19.232
31,1776895790.428,73.737,-19.276
32,1776895790.428,73.761,-19.233
33,1776895790.428,73.735,-19.275
34,1776895790.428,73.763,-19.233
35,1776895790.428,73.733,-19.274
36,1776895790.428,73.764,-19.234
37,1776895790.428,73.732,-19.273
38,1776895790.428,73.765,-19.235
39,1776895790.428,73.730,-19.271
40,1776895790.428,73.766,-19.237
41,1776895790.428,73.729,-19.270
42,1776895790.428,73.767,-19.238
43,1776895790.428,73.727,-19.268
44,1776895790.428,73.768,-19.239
45,1776895790.428,73.726,-19.266
46,1776895790.428,73.769,-19.240
47,1776895790.428,73.725,-19.265
48,1776895790.428,73.770,-19.242
49,1776895790.428,73.724,-19.263
50,1776895790.428,73.770,-19.243
51,1776895790.428,73.724,-19.261
52,1776895790.428,73.771,-19.244
53,1776895790.428,73.723,-19.260
54,1776895790.428,73.771,-19.245
55,1776895790.428,73.723,-19.259
56,1776895790.428,73.771,-19.246
57,1776895790.428,73.723,-19.257
58,1776895790.428,73.771,-19.247
59,1776895790.428,73.722,-19.256
60,1776895790.428,73.772,-19.247
61,1776895790.428,73.722,-19.255
62,1776895790.428,73.673,-19.264
63,1776895790.428,73.700,-19.306
64,1776895790.428,73.728,-19.264
65,1776895790.428,73.757,-19.224
66,1776895790.428,73.806,-19.218
67,1776895790.428,73.856,-19.210
68,1776895790.428,73.905,-19.203
69,1776895790.428,73.951,-19.183
70,1776895790.428,73.996,-19.161
71,1776895790.428,74.040,-19.137
72,1776895790.428,74.080,-19.108
73,1776895790.428,74.127,-19.091
74,1776895790.428,74.173,-19.072
75,1776895790.428,74.220,-19.052
76,1776895790.428,74.262,-19.026
77,1776895790.428,74.294,-18.987
78,1776895790.428,74.340,-18.969
79,1776895790.428,74.383,-18.944
80,1776895790.428,74.382,-18.894
81,1776895790.428,74.427,-18.871
82,1776895790.428,74.466,-18.841
83,1776895790.428,74.496,-18.801
84,1776895790.428,74.540,-18.777
85,1776895790.428,74.579,-18.746
86,1776895790.428,74.562,-18.699
87,1776895790.428,74.606,-18.675
88,1776895790.428,74.644,-18.643
89,1776895790.428,74.670,-18.600
90,1776895790.428,74.715,-18.577
91,1776895790.428,74.754,-18.547
92,1776895790.428,74.783,-18.506
93,1776895790.428,74.808,-18.462
94,1776895790.428,74.832,-18.419
95,1776895790.428,74.857,-18.375
96,1776895790.428,74.881,-18.331
97,1776895790.428,74.907,-18.289
98,1776895790.428,74.933,-18.246
99,1776895790.428,74.958,-18.203
100,1776895790.428,74.982,-18.159
101,1776895790.428,75.006,-18.115
102,1776895790.428,75.030,-18.071
103,1776895790.428,75.054,-18.027
104,1776895790.428,75.078,-17.984
105,1776895790.428,75.101,-17.939
106,1776895790.428,75.125,-17.895
107,1776895790.428,75.149,-17.852
108,1776895790.428,75.174,-17.808
109,1776895790.428,75.200,-17.765
110,1776895790.428,75.225,-17.722
111,1776895790.428,75.250,-17.679
112,1776895790.428,75.276,-17.636
113,1776895790.428,75.301,-17.593
114,1776895790.428,75.327,-17.550
115,1776895790.428,75.354,-17.508
116,1776895790.428,75.380,-17.465
117,1776895790.428,75.406,-17.422
118,1776895790.428,75.432,-17.380
119,1776895790.428,75.458,-17.337
120,1776895790.428,75.485,-17.295
121,1776895790.428,75.509,-17.251
122,1776895790.428,75.535,-17.208
123,1776895790.428,75.561,-17.166
124,1776895790.428,75.588,-17.123
125,1776895790.428,75.612,-17.080
126,1776895790.428,75.638,-17.037
127,1776895790.428,75.664,-16.994
128,1776895790.428,75.692,-16.953
129,1776895790.428,75.716,-16.909
130,1776895790.428,75.743,-16.867
131,1776895790.428,75.770,-16.825
132,1776895790.428,75.799,-16.784
133,1776895790.428,75.824,-16.741
134,1776895790.428,75.852,-16.699
135,1776895790.428,75.881,-16.659
136,1776895790.428,75.912,-16.619
137,1776895790.428,75.941,-16.579
138,1776895790.428,75.972,-16.540
139,1776895790.428,75.982,-16.491
140,1776895790.428,76.027,-16.468
141,1776895790.428,76.066,-16.437
142,1776895790.428,76.100,-16.400
143,1776895790.428,76.150,-16.350
