seq,wall_ts,x,y
0,1776895931.232,62.400,-8.700
1,1776895931.232,62.391,-8.627
2,1776895931.232,62.441,-8.630
3,1776895931.232,62.481,-8.600
4,1776895931.232,62.501,-8.554
5,1776895931.232,62.528,-8.512
6,1776895931.232,62.562,-8.475
7,1776895931.232,62.607,-8.454
8,1776895931.232,62.652,-8.431
9,1776895931.232,62.701,-8.435
10,1776895931.232,62.751,-8.444
11,1776895931.232,62.798,-8.462
12,1776895931.232,62.847,-8.466
13,1776895931.232,62.897,-8.470
14,1776895931.232,62.947,-8.473
15,1776895931.232,62.997,-8.476
16,1776895931.232,63.047,-8.478
17,1776895931.232,63.097,-8.480
18,1776895931.232,63.147,-8.481
19,1776895931.232,63.197,-8.483
20,1776895931.232,63.247,-8.484
21,1776895931.232,63.297,-8.485
22,1776895931.232,63.347,-8.486
23,1776895931.232,63.397,-8.487
24,1776895931.232,63.447,-8.488
25,1776895931.232,63.497,-8.489
26,1776895931.232,63.547,-8.490
27,1776895931.232,63.597,-8.491
28,1776895931.232,63.647,-8.492
29,1776895931.232,63.697,-8.493
30,1776895931.232,63.747,-8.494
31,1776895931.232,63.797,-8.495
32,1776895931.232,63.847,-8.495
33,1776895931.232,63.897,-8.496
34,1776895931.232,63.947,-8.497
35,1776895931.232,63.997,-8.498
36,1776895931.232,64.047,-8.499
37,1776895931.232,64.097,-8.500
38,1776895931.232,64.147,-8.501
39,1776895931.232,64.197,-8.502
40,1776895931.232,64.247,-8.498
41,1776895931.232,64.296,-8.494
42,1776895931.232,64.346,-8.491
43,1776895931.232,64.396,-8.487
44,1776895931.232,64.446,-8.483
45,1776895931.232,64.496,-8.479
46,1776895931.232,64.546,-8.476
47,1776895931.232,64.596,-8.472
48,1776895931.232,64.645,-8.468
49,1776895931.232,64.695,-8.464
50,1776895931.232,64.745,-8.460
51,1776895931.232,64.795,-8.457
52,1776895931.232,64.845,-8.453
53,1776895931.232,64.895,-8.449
54,1776895931.232,64.945,-8.445
55,1776895931.232,64.994,-8.441
56,1776895931.232,65.044,-8.437
57,1776895931.232,65.094,-8.433
58,1776895931.232,65.144,-8.429
59,1776895931.232,65.194,-8.425
60,1776895931.232,65.244,-8.421
61,1776895931.232,65.293,-8.417
62,1776895931.232,65.343,-8.413
63,1776895931.232,65.393,-8.409
64,1776895931.232,65.443,-8.405
65,1776895931.232,65.493,-8.401
66,1776895931.232,65.543,-8.397
67,1776895931.232,65.593,-8.393
68,1776895931.232,65.642,-8.389
69,1776895931.232,65.692,-8.385
70,1776895931.232,65.742,-8.381
71,1776895931.232,65.792,-8.378
72,1776895931.232,65.842,-8.374
73,1776895931.232,65.892,-8.370
74,1776895931.232,65.941,-8.366
75,1776895931.232,65.991,-8.362
76,1776895931.232,66.041,-8.358
77,1776895931.232,66.091,-8.354
78,1776895931.232,66.141,-8.350
79,1776895931.232,66.191,-8.346
80,1776895931.232,66.241,-8.343
81,1776895931.232,66.290,-8.339
82,1776895931.232,66.340,-8.335
83,1776895931.232,66.390,-8.331
84,1776895931.232,66.440,-8.327
