seq,wall_ts,x,y
0,1776896041.383,78.900,-21.300
1,1776896041.383,78.834,-21.301
2,1776896041.383,78.784,-21.297
3,1776896041.383,78.734,-21.293
4,1776896041.383,78.684,-21.297
5,1776896041.383,78.643,-21.325
6,1776896041.383,78.635,-21.276
7,1776896041.383,78.629,-21.226
8,1776896041.383,78.600,-21.185
9,1776896041.383,78.569,-21.146
10,1776896041.383,78.587,-21.100
11,1776896041.383,78.602,-21.052
12,1776896041.383,78.615,-21.004
13,1776896041.383,78.600,-20.956
14,1776896041.383,78.586,-20.908
15,1776896041.383,78.602,-20.860
16,1776896041.383,78.616,-20.812
17,1776896041.383,78.599,-20.765
18,1776896041.383,78.584,-20.717
19,1776896041.383,78.601,-20.670
20,1776896041.383,78.616,-20.623
21,1776896041.383,78.598,-20.576
22,1776896041.383,78.580,-20.529
23,1776896041.383,78.598,-20.483
24,1776896041.383,78.614,-20.435
25,1776896041.383,78.593,-20.390
26,1776896041.383,78.570,-20.346
27,1776896041.383,78.587,-20.299
28,1776896041.383,78.602,-20.252
29,1776896041.383,78.614,-20.203
30,1776896041.383,78.599,-20.155
31,1776896041.383,78.586,-20.107
32,1776896041.383,78.602,-20.060
33,1776896041.383,78.616,-20.012
34,1776896041.383,78.599,-19.964
35,1776896041.383,78.584,-19.917
36,1776896041.383,78.601,-19.870
37,1776896041.383,78.616,-19.822
38,1776896041.383,78.598,-19.775
39,1776896041.383,78.581,-19.728
40,1776896041.383,78.598,-19.682
41,1776896041.383,78.614,-19.634
42,1776896041.383,78.593,-19.589
43,1776896041.383,78.570,-19.545
44,1776896041.383,78.588,-19.498
45,1776896041.383,78.602,-19.450
46,1776896041.383,78.614,-19.401
47,1776896041.383,78.599,-19.354
48,1776896041.383,78.587,-19.305
49,1776896041.383,78.602,-19.258
50,1776896041.383,78.616,-19.210
51,1776896041.383,78.600,-19.162
52,1776896041.383,78.586,-19.114
53,1776896041.383,78.603,-19.067
54,1776896041.383,78.618,-19.020
55,1776896041.383,78.601,-18.972
56,1776896041.383,78.585,-18.925
57,1776896041.383,78.603,-18.879
58,1776896041.383,78.621,-18.832
59,1776896041.383,78.604,-18.785
60,1776896041.383,78.587,-18.738
61,1776896041.383,78.608,-18.692
62,1776896041.383,78.629,-18.647
63,1776896041.383,78.614,-18.599
64,1776896041.383,78.599,-18.552
65,1776896041.383,78.587,-18.503
66,1776896041.383,78.602,-18.456
67,1776896041.383,78.615,-18.407
68,1776896041.383,78.600,-18.360
69,1776896041.383,78.586,-18.312
70,1776896041.383,78.603,-18.265
71,1776896041.383,78.617,-18.217
72,1776896041.383,78.614,-18.167
73,1776896041.383,78.610,-18.117
74,1776896041.383,78.608,-18.067
75,1776896041.383,78.607,-18.017
76,1776896041.383,78.605,-17.967
77,1776896041.383,78.604,-17.917
78,1776896041.383,78.602,-17.867
79,1776896041.383,78.600,-17.817
80,1776896041.383,78.598,-17.767
81,1776896041.383,78.596,-17.717
82,1776896041.383,78.594,-17.667
83,1776896041.383,78.591,-17.617
84,1776896041.383,78.588,-17.567
85,1776896041.383,78.585,-17.517
86,1776896041.383,78.581,-17.468
87,1776896041.383,78.577,-17.418
88,1776896041.383,78.573,-17.368
89,1776896041.383,78.568,-17.318
90,1776896041.383,78.563,-17.269
91,1776896041.383,78.557,-17.219
92,1776896041.383,78.551,-17.169
93,1776896041.383,78.544,-17.120
94,1776896041.383,78.537,-17.070
95,1776896041.383,78.529,-17.021
96,1776896041.383,78.521,-16.971
97,1776896041.383,78.512,-16.922
98,1776896041.383,78.503,-16.873
99,1776896041.383,78.493,-16.824
100,1776896041.383,78.484,-16.775
101,1776896041.383,78.474,-16.726
102,1776896041.383,78.464,-16.677
103,1776896041.383,78.455,-16.628
104,1776896041.383,78.445,-16.579
105,1776896041.383,78.435,-16.530
106,1776896041.383,78.425,-16.481
107,1776896041.383,78.415,-16.432
108,1776896041.383,78.405,-16.383
