seq,wall_ts,x,y
0,1776895770.228,71.200,-22.100
1,1776895770.228,71.191,-22.001
2,1776895770.228,71.194,-21.951
3,1776895770.228,71.196,-21.901
4,1776895770.228,71.220,-21.857
5,1776895770.228,71.245,-21.814
6,1776895770.228,71.271,-21.771
7,1776895770.228,71.297,-21.729
8,1776895770.228,71.325,-21.687
9,1776895770.228,71.353,-21.646
10,1776895770.228,71.381,-21.604
11,1776895770.228,71.409,-21.563
12,1776895770.228,71.436,-21.521
13,1776895770.228,71.479,-21.496
14,1776895770.228,71.508,-21.454
15,1776895770.228,71.536,-21.413
16,1776895770.228,71.579,-21.388
17,1776895770.228,71.610,-21.348
18,1776895770.228,71.640,-21.309
19,1776895770.228,71.683,-21.284
20,1776895770.228,71.715,-21.245
21,1776895770.228,71.747,-21.206
22,1776895770.228,71.789,-21.180
23,1776895770.228,71.829,-21.149
24,1776895770.228,71.864,-21.114
25,1776895770.228,71.891,-21.072
26,1776895770.228,71.933,-21.044
27,1776895770.228,71.966,-21.007
28,1776895770.228,72.011,-20.986
29,1776895770.228,72.054,-20.961
30,1776895770.228,72.092,-20.928
31,1776895770.228,72.086,-20.879
32,1776895770.228,72.127,-20.850
33,1776895770.228,72.159,-20.812
34,1776895770.228,72.206,-20.795
35,1776895770.228,72.251,-20.772
36,1776895770.228,72.291,-20.742
37,1776895770.228,72.323,-20.704
38,1776895770.228,72.352,-20.663
39,1776895770.228,72.382,-20.623
40,1776895770.228,72.409,-20.581
41,1776895770.228,72.438,-20.540
42,1776895770.228,72.468,-20.500
43,1776895770.228,72.498,-20.460
44,1776895770.228,72.528,-20.420
45,1776895770.228,72.558,-20.380
46,1776895770.228,72.588,-20.340
47,1776895770.228,72.619,-20.301
48,1776895770.228,72.650,-20.262
49,1776895770.228,72.681,-20.223
50,1776895770.228,72.709,-20.181
51,1776895770.228,72.739,-20.141
52,1776895770.228,72.770,-20.102
53,1776895770.228,72.801,-20.062
54,1776895770.228,72.832,-20.024
55,1776895770.228,72.874,-19.995
56,1776895770.228,72.918,-19.972
57,1776895770.228,72.959,-19.943
58,1776895770.228,72.996,-19.910
59,1776895770.228,73.044,-19.895
60,1776895770.228,73.090,-19.876
61,1776895770.228,73.132,-19.849
62,1776895770.228,73.173,-19.820
63,1776895770.228,73.212,-19.789
64,1776895770.228,73.251,-19.757
65,1776895770.228,73.289,-19.725
66,1776895770.228,73.327,-19.693
67,1776895770.228,73.365,-19.660
68,1776895770.228,73.414,-19.650
69,1776895770.228,73.459,-19.629
70,1776895770.228,73.500,-19.600
71,1776895770.228,73.521,-19.526
72,1776895770.228,73.552,-19.487
73,1776895770.228,73.580,-19.446
74,1776895770.228,73.600,-19.400
75,1776895770.228,73.650,-19.350
