seq,wall_ts,x,y
0,1776895996.881,69.400,-3.700
1,1776895996.881,69.427,-3.777
2,1776895996.881,69.459,-3.816
3,1776895996.881,69.491,-3.854
4,1776895996.881,69.523,-3.892
5,1776895996.881,69.556,-3.931
6,1776895996.881,69.587,-3.969
7,1776895996.881,69.620,-4.007
8,1776895996.881,69.652,-4.045
9,1776895996.881,69.684,-4.084
10,1776895996.881,69.717,-4.122
11,1776895996.881,69.749,-4.160
12,1776895996.881,69.781,-4.198
13,1776895996.881,69.813,-4.237
14,1776895996.881,69.845,-4.275
15,1776895996.881,69.877,-4.313
16,1776895996.881,69.910,-4.352
17,1776895996.881,69.942,-4.390
18,1776895996.881,69.974,-4.428
19,1776895996.881,70.004,-4.468
20,1776895996.881,70.035,-4.507
21,1776895996.881,70.067,-4.546
22,1776895996.881,70.099,-4.584
23,1776895996.881,70.130,-4.623
24,1776895996.881,70.162,-4.662
25,1776895996.881,70.194,-4.700
26,1776895996.881,70.227,-4.738
27,1776895996.881,70.259,-4.776
28,1776895996.881,70.292,-4.814
29,1776895996.881,70.325,-4.852
30,1776895996.881,70.358,-4.889
31,1776895996.881,70.391,-4.926
32,1776895996.881,70.424,-4.964
33,1776895996.881,70.458,-5.001
34,1776895996.881,70.492,-5.037
35,1776895996.881,70.526,-5.074
36,1776895996.881,70.560,-5.111
37,1776895996.881,70.594,-5.147
38,1776895996.881,70.628,-5.184
39,1776895996.881,70.663,-5.220
40,1776895996.881,70.697,-5.256
41,1776895996.881,70.731,-5.293
42,1776895996.881,70.766,-5.329
43,1776895996.881,70.800,-5.365
44,1776895996.881,70.835,-5.401
45,1776895996.881,70.869,-5.438
46,1776895996.881,70.904,-5.474
47,1776895996.881,70.938,-5.510
48,1776895996.881,70.973,-5.546
49,1776895996.881,71.008,-5.582
50,1776895996.881,71.043,-5.618
51,1776895996.881,71.077,-5.654
52,1776895996.881,71.112,-5.690
53,1776895996.881,71.147,-5.726
54,1776895996.881,71.181,-5.762
55,1776895996.881,71.216,-5.797
56,1776895996.881,71.251,-5.833
57,1776895996.881,71.286,-5.869
58,1776895996.881,71.321,-5.905
59,1776895996.881,71.356,-5.941
60,1776895996.881,71.390,-5.977
61,1776895996.881,71.425,-6.013
62,1776895996.881,71.460,-6.049
63,1776895996.881,71.495,-6.084
64,1776895996.881,71.530,-6.120
65,1776895996.881,71.565,-6.156
66,1776895996.881,71.600,-6.192
67,1776895996.881,71.634,-6.228
68,1776895996.881,71.669,-6.264
69,1776895996.881,71.704,-6.299
70,1776895996.881,71.739,-6.335
71,1776895996.881,71.774,-6.371
72,1776895996.881,71.809,-6.407
73,1776895996.881,71.844,-6.442
74,1776895996.881,71.879,-6.478
75,1776895996.881,71.914,-6.514
76,1776895996.881,71.949,-6.550
77,1776895996.881,71.984,-6.586
78,1776895996.881,72.019,-6.621
79,1776895996.881,72.054,-6.657
80,1776895996.881,72.088,-6.693
81,1776895996.881,72.123,-6.729
82,1776895996.881,72.158,-6.764
83,1776895996.881,72.193,-6.800
84,1776895996.881,72.228,-6.836
85,1776895996.881,72.263,-6.872
86,1776895996.881,72.298,-6.908
87,1776895996.881,72.333,-6.943
88,1776895996.881,72.368,-6.979
89,1776895996.881,72.403,-7.015
90,1776895996.881,72.438,-7.051
91,1776895996.881,72.473,-7.086
92,1776895996.881,72.508,-7.122
93,1776895996.881,72.543,-7.158
94,1776895996.881,72.578,-7.194
95,1776895996.881,72.613,-7.229
96,1776895996.881,72.648,-7.265
97,1776895996.881,72.683,-7.301
98,1776895996.881,72.717,-7.337
99,1776895996.881,72.752,-7.372
100,1776895996.881,72.787,-7.408
101,1776895996.881,72.822,-7.444
102,1776895996.881,72.857,-7.480
103,1776895996.881,72.892,-7.515
104,1776895996.881,72.927,-7.551
105,1776895996.881,72.962,-7.587
106,1776895996.881,72.997,-7.623
107,1776895996.881,73.032,-7.659
108,1776895996.881,73.067,-7.694
109,1776895996.881,73.102,-7.730
110,1776895996.881,73.137,-7.766
111,1776895996.881,73.172,-7.802
112,1776895996.881,73.207,-7.837
113,1776895996.881,73.242,-7.873
114,1776895996.881,73.276,-7.909
115,1776895996.881,73.311,-7.945
116,1776895996.881,73.346,-7.980
117,1776895996.881,73.381,-8.016
118,1776895996.881,73.416,-8.052
119,1776895996.881,73.451,-8.088
120,1776895996.881,73.486,-8.124
121,1776895996.881,73.521,-8.159
122,1776895996.881,73.556,-8.195
123,1776895996.881,73.591,-8.231
