seq,wall_ts,x,y
0,1776895865.585,62.300,-16.100
1,1776895865.585,62.248,-16.192
2,1776895865.585,62.250,-16.142
3,1776895865.585,62.249,-16.192
4,1776895865.585,62.250,-16.142
5,1776895865.585,62.250,-16.192
6,1776895865.585,62.250,-16.242
7,1776895865.585,62.261,-16.193
8,1776895865.585,62.228,-16.156
9,1776895865.585,62.184,-16.131
10,1776895865.585,62.137,-16.117
11,1776895865.585,62.087,-16.111
12,1776895865.585,62.055,-16.072
13,1776895865.585,62.016,-16.041
14,1776895865.585,61.979,-16.007
15,1776895865.585,61.961,-15.960
16,1776895865.585,61.941,-15.915
17,1776895865.585,61.942,-15.865
18,1776895865.585,61.957,-15.817
19,1776895865.585,61.923,-15.780
20,1776895865.585,61.888,-15.744
21,1776895865.585,61.861,-15.702
22,1776895865.585,61.857,-15.653
23,1776895865.585,61.853,-15.603
24,1776895865.585,61.848,-15.553
25,1776895865.585,61.842,-15.503
26,1776895865.585,61.834,-15.454
27,1776895865.585,61.821,-15.406
28,1776895865.585,61.803,-15.359
29,1776895865.585,61.784,-15.313
30,1776895865.585,61.755,-15.272
31,1776895865.585,61.732,-15.227
32,1776895865.585,61.695,-15.194
33,1776895865.585,61.665,-15.154
34,1776895865.585,61.642,-15.110
35,1776895865.585,61.607,-15.074
36,1776895865.585,61.576,-15.035
37,1776895865.585,61.543,-14.997
38,1776895865.585,61.503,-14.967
39,1776895865.585,61.467,-14.932
40,1776895865.585,61.458,-14.883
41,1776895865.585,61.448,-14.834
42,1776895865.585,61.451,-14.784
43,1776895865.585,61.472,-14.738
44,1776895865.585,61.446,-14.696
45,1776895865.585,61.409,-14.662
46,1776895865.585,61.368,-14.633
47,1776895865.585,61.326,-14.607
48,1776895865.585,61.330,-14.557
49,1776895865.585,61.334,-14.507
50,1776895865.585,61.334,-14.457
51,1776895865.585,61.334,-14.407
52,1776895865.585,61.338,-14.357
53,1776895865.585,61.343,-14.307
54,1776895865.585,61.358,-14.260
55,1776895865.585,61.372,-14.212
56,1776895865.585,61.378,-14.162
57,1776895865.585,61.386,-14.113
58,1776895865.585,61.395,-14.063
59,1776895865.585,61.410,-14.016
60,1776895865.585,61.427,-13.969
61,1776895865.585,61.444,-13.922
62,1776895865.585,61.458,-13.874
63,1776895865.585,61.500,-13.847
64,1776895865.585,61.541,-13.819
65,1776895865.585,61.565,-13.775
66,1776895865.585,61.600,-13.739
67,1776895865.585,61.619,-13.693
68,1776895865.585,61.644,-13.650
69,1776895865.585,61.678,-13.613
70,1776895865.585,61.727,-13.605
71,1776895865.585,61.757,-13.566
72,1776895865.585,61.799,-13.538
73,1776895865.585,61.823,-13.494
74,1776895865.585,61.855,-13.456
75,1776895865.585,61.897,-13.429
76,1776895865.585,61.922,-13.385
