seq,wall_ts,x,y
0,1776895890.843,61.400,-14.400
1,1776895890.843,61.379,-14.339
2,1776895890.843,61.353,-14.296
3,1776895890.843,61.316,-14.262
4,1776895890.843,61.281,-14.227
5,1776895890.843,61.248,-14.189
6,1776895890.843,61.208,-14.159
7,1776895890.843,61.171,-14.125
8,1776895890.843,61.161,-14.077
9,1776895890.843,61.149,-14.028
10,1776895890.843,61.151,-13.978
11,1776895890.843,61.168,-13.931
12,1776895890.843,61.141,-13.889
13,1776895890.843,61.104,-13.855
14,1776895890.843,61.071,-13.818
15,1776895890.843,61.060,-13.769
16,1776895890.843,61.050,-13.720
17,1776895890.843,61.046,-13.670
18,1776895890.843,61.036,-13.621
19,1776895890.843,61.036,-13.571
20,1776895890.843,61.038,-13.521
21,1776895890.843,61.037,-13.471
22,1776895890.843,61.035,-13.421
23,1776895890.843,61.032,-13.371
24,1776895890.843,61.027,-13.321
25,1776895890.843,61.023,-13.271
26,1776895890.843,61.011,-13.223
27,1776895890.843,60.978,-13.185
28,1776895890.843,60.952,-13.142
29,1776895890.843,60.943,-13.093
30,1776895890.843,60.934,-13.044
31,1776895890.843,60.931,-12.994
32,1776895890.843,60.925,-12.945
33,1776895890.843,60.926,-12.895
34,1776895890.843,60.928,-12.845
35,1776895890.843,60.928,-12.795
36,1776895890.843,60.927,-12.745
37,1776895890.843,60.926,-12.695
38,1776895890.843,60.925,-12.645
39,1776895890.843,60.924,-12.595
40,1776895890.843,60.923,-12.545
41,1776895890.843,60.922,-12.495
42,1776895890.843,60.921,-12.445
43,1776895890.843,60.919,-12.395
44,1776895890.843,60.916,-12.345
45,1776895890.843,60.911,-12.295
46,1776895890.843,60.902,-12.246
47,1776895890.843,60.893,-12.197
48,1776895890.843,60.883,-12.148
49,1776895890.843,60.873,-12.099
50,1776895890.843,60.863,-12.050
51,1776895890.843,60.853,-12.001
52,1776895890.843,60.837,-11.953
53,1776895890.843,60.826,-11.905
54,1776895890.843,60.823,-11.855
55,1776895890.843,60.819,-11.805
56,1776895890.843,60.818,-11.755
57,1776895890.843,60.815,-11.705
58,1776895890.843,60.813,-11.655
59,1776895890.843,60.808,-11.605
60,1776895890.843,60.798,-11.556
61,1776895890.843,60.846,-11.543
62,1776895890.843,60.856,-11.494
63,1776895890.843,60.866,-11.445
64,1776895890.843,60.871,-11.395
65,1776895890.843,60.877,-11.346
66,1776895890.843,60.883,-11.296
67,1776895890.843,60.891,-11.247
68,1776895890.843,60.905,-11.198
69,1776895890.843,60.922,-11.151
70,1776895890.843,60.941,-11.105
71,1776895890.843,60.963,-11.060
72,1776895890.843,60.986,-11.016
73,1776895890.843,61.006,-10.970
74,1776895890.843,61.026,-10.924
75,1776895890.843,61.044,-10.878
76,1776895890.843,61.063,-10.831
77,1776895890.843,61.082,-10.785
78,1776895890.843,61.102,-10.739
79,1776895890.843,61.125,-10.695
80,1776895890.843,61.148,-10.651
81,1776895890.843,61.172,-10.607
82,1776895890.843,61.196,-10.563
83,1776895890.843,61.222,-10.520
84,1776895890.843,61.248,-10.478
85,1776895890.843,61.274,-10.435
86,1776895890.843,61.298,-10.391
87,1776895890.843,61.310,-10.342
88,1776895890.843,61.318,-10.293
89,1776895890.843,61.325,-10.244
90,1776895890.843,61.332,-10.194
91,1776895890.843,61.340,-10.145
92,1776895890.843,61.347,-10.095
93,1776895890.843,61.354,-10.046
94,1776895890.843,61.362,-9.996
95,1776895890.843,61.371,-9.947
96,1776895890.843,61.379,-9.898
97,1776895890.843,61.390,-9.849
98,1776895890.843,61.396,-9.799
99,1776895890.843,61.409,-9.751
100,1776895890.843,61.421,-9.702
101,1776895890.843,61.431,-9.653
102,1776895890.843,61.443,-9.605
103,1776895890.843,61.460,-9.558
104,1776895890.843,61.477,-9.511
105,1776895890.843,61.515,-9.479
106,1776895890.843,61.552,-9.445
107,1776895890.843,61.588,-9.411
108,1776895890.843,61.615,-9.368
109,1776895890.843,61.645,-9.329
110,1776895890.843,61.667,-9.283
111,1776895890.843,61.712,-9.261
112,1776895890.843,61.756,-9.237
113,1776895890.843,61.768,-9.189
114,1776895890.843,61.794,-9.146
115,1776895890.843,61.810,-9.099
116,1776895890.843,61.831,-9.053
117,1776895890.843,61.859,-9.011
118,1776895890.843,61.909,-9.011
119,1776895890.843,61.932,-8.966
120,1776895890.843,61.962,-8.927
121,1776895890.843,61.999,-8.893
122,1776895890.843,62.021,-8.848
123,1776895890.843,62.051,-8.807
124,1776895890.843,62.100,-8.805
125,1776895890.843,62.124,-8.760
126,1776895890.843,62.154,-8.721
127,1776895890.843,62.193,-8.689
128,1776895890.843,62.216,-8.644
129,1776895890.843,62.245,-8.604
130,1776895890.843,62.282,-8.571
131,1776895890.843,62.329,-8.553
132,1776895890.843,62.376,-8.536
133,1776895890.843,62.416,-8.566
134,1776895890.843,62.434,-8.612
135,1776895890.843,62.481,-8.593
136,1776895890.843,62.508,-8.552
137,1776895890.843,62.544,-8.517
138,1776895890.843,62.588,-8.494
139,1776895890.843,62.634,-8.474
140,1776895890.843,62.680,-8.454
141,1776895890.843,62.712,-8.415
142,1776895890.843,62.751,-8.384
143,1776895890.843,62.795,-8.361
144,1776895890.843,62.845,-8.366
145,1776895890.843,62.895,-8.370
146,1776895890.843,62.945,-8.373
147,1776895890.843,62.995,-8.376
148,1776895890.843,63.045,-8.377
149,1776895890.843,63.095,-8.379
150,1776895890.843,63.145,-8.380
151,1776895890.843,63.195,-8.382
152,1776895890.843,63.245,-8.383
153,1776895890.843,63.295,-8.384
154,1776895890.843,63.345,-8.384
155,1776895890.843,63.395,-8.385
156,1776895890.843,63.445,-8.386
157,1776895890.843,63.495,-8.386
158,1776895890.843,63.545,-8.387
159,1776895890.843,63.595,-8.387
160,1776895890.843,63.645,-8.387
161,1776895890.843,63.695,-8.387
162,1776895890.843,63.745,-8.388
163,1776895890.843,63.795,-8.388
164,1776895890.843,63.845,-8.388
165,1776895890.843,63.895,-8.388
166,1776895890.843,63.945,-8.388
167,1776895890.843,63.995,-8.388
168,1776895890.843,64.045,-8.388
169,1776895890.843,64.095,-8.388
170,1776895890.843,64.145,-8.387
171,1776895890.843,64.195,-8.387
172,1776895890.843,64.245,-8.387
173,1776895890.843,64.295,-8.387
174,1776895890.843,64.345,-8.386
175,1776895890.843,64.395,-8.386
176,1776895890.843,64.445,-8.385
177,1776895890.843,64.495,-8.385
178,1776895890.843,64.544,-8.374
179,1776895890.843,64.594,-8.372
180,1776895890.843,64.634,-8.401
181,1776895890.843,64.684,-8.398
182,1776895890.843,64.734,-8.395
183,1776895890.843,64.784,-8.392
184,1776895890.843,64.834,-8.389
185,1776895890.843,64.884,-8.386
186,1776895890.843,64.933,-8.383
187,1776895890.843,64.983,-8.379
188,1776895890.843,65.033,-8.376
189,1776895890.843,65.083,-8.373
190,1776895890.843,65.133,-8.370
191,1776895890.843,65.183,-8.367
192,1776895890.843,65.233,-8.363
193,1776895890.843,65.283,-8.360
194,1776895890.843,65.333,-8.357
195,1776895890.843,65.382,-8.353
196,1776895890.843,65.432,-8.350
197,1776895890.843,65.482,-8.347
198,1776895890.843,65.532,-8.343
199,1776895890.843,65.582,-8.340
200,1776895890.843,65.632,-8.336
