seq,wall_ts,x,y
0,1776896017.085,74.600,-18.600
1,1776896017.085,74.689,-18.634
2,1776896017.085,74.697,-18.584
3,1776896017.085,74.742,-18.564
4,1776896017.085,74.784,-18.537
5,1776896017.085,74.794,-18.488
6,1776896017.085,74.790,-18.438
7,1776896017.085,74.816,-18.395
8,1776896017.085,74.842,-18.352
9,1776896017.085,74.867,-18.309
10,1776896017.085,74.906,-18.277
11,1776896017.085,74.938,-18.239
12,1776896017.085,74.939,-18.189
13,1776896017.085,74.937,-18.139
14,1776896017.085,74.931,-18.090
15,1776896017.085,74.920,-18.041
16,1776896017.085,74.900,-17.995
17,1776896017.085,74.915,-17.947
18,1776896017.085,74.930,-17.900
19,1776896017.085,74.945,-17.852
20,1776896017.085,74.959,-17.804
21,1776896017.085,74.974,-17.756
22,1776896017.085,74.989,-17.709
23,1776896017.085,75.005,-17.661
24,1776896017.085,75.021,-17.614
25,1776896017.085,75.037,-17.566
26,1776896017.085,75.052,-17.519
27,1776896017.085,75.068,-17.471
28,1776896017.085,75.084,-17.424
29,1776896017.085,75.100,-17.377
30,1776896017.085,75.117,-17.329
31,1776896017.085,75.133,-17.282
32,1776896017.085,75.149,-17.235
33,1776896017.085,75.166,-17.188
34,1776896017.085,75.182,-17.141
35,1776896017.085,75.199,-17.093
36,1776896017.085,75.216,-17.046
37,1776896017.085,75.232,-16.999
38,1776896017.085,75.249,-16.952
39,1776896017.085,75.266,-16.905
40,1776896017.085,75.283,-16.858
41,1776896017.085,75.300,-16.811
42,1776896017.085,75.317,-16.764
43,1776896017.085,75.334,-16.717
44,1776896017.085,75.352,-16.670
45,1776896017.085,75.369,-16.623
46,1776896017.085,75.386,-16.576
47,1776896017.085,75.403,-16.529
48,1776896017.085,75.421,-16.482
49,1776896017.085,75.438,-16.436
50,1776896017.085,75.456,-16.389
51,1776896017.085,75.473,-16.342
52,1776896017.085,75.491,-16.295
53,1776896017.085,75.508,-16.248
54,1776896017.085,75.526,-16.201
55,1776896017.085,75.544,-16.155
56,1776896017.085,75.561,-16.108
57,1776896017.085,75.579,-16.061
58,1776896017.085,75.597,-16.014
59,1776896017.085,75.614,-15.968
60,1776896017.085,75.632,-15.921
61,1776896017.085,75.650,-15.874
62,1776896017.085,75.668,-15.827
63,1776896017.085,75.686,-15.781
64,1776896017.085,75.704,-15.734
65,1776896017.085,75.722,-15.687
66,1776896017.085,75.739,-15.641
67,1776896017.085,75.757,-15.594
68,1776896017.085,75.775,-15.547
69,1776896017.085,75.794,-15.501
70,1776896017.085,75.812,-15.454
71,1776896017.085,75.830,-15.408
72,1776896017.085,75.848,-15.361
73,1776896017.085,75.866,-15.314
74,1776896017.085,75.884,-15.268
75,1776896017.085,75.902,-15.221
76,1776896017.085,75.920,-15.175
77,1776896017.085,75.939,-15.128
78,1776896017.085,75.957,-15.082
79,1776896017.085,75.975,-15.035
80,1776896017.085,75.994,-14.988
81,1776896017.085,76.012,-14.942
82,1776896017.085,76.030,-14.895
83,1776896017.085,76.048,-14.849
84,1776896017.085,76.067,-14.802
85,1776896017.085,76.085,-14.756
86,1776896017.085,76.103,-14.709
87,1776896017.085,76.122,-14.663
88,1776896017.085,76.140,-14.616
89,1776896017.085,76.158,-14.570
90,1776896017.085,76.176,-14.523
91,1776896017.085,76.195,-14.477
92,1776896017.085,76.213,-14.430
93,1776896017.085,76.231,-14.384
94,1776896017.085,76.250,-14.337
95,1776896017.085,76.268,-14.291
96,1776896017.085,76.286,-14.244
97,1776896017.085,76.305,-14.197
98,1776896017.085,76.323,-14.151
99,1776896017.085,76.341,-14.104
100,1776896017.085,76.360,-14.058
101,1776896017.085,76.378,-14.011
102,1776896017.085,76.396,-13.965
103,1776896017.085,76.415,-13.918
104,1776896017.085,76.433,-13.872
105,1776896017.085,76.452,-13.825
106,1776896017.085,76.470,-13.779
107,1776896017.085,76.488,-13.732
108,1776896017.085,76.507,-13.686
109,1776896017.085,76.525,-13.639
110,1776896017.085,76.544,-13.593
111,1776896017.085,76.562,-13.546
112,1776896017.085,76.580,-13.500
113,1776896017.085,76.599,-13.453
114,1776896017.085,76.617,-13.407
115,1776896017.085,76.636,-13.361
116,1776896017.085,76.654,-13.314
117,1776896017.085,76.673,-13.268
118,1776896017.085,76.691,-13.221
119,1776896017.085,76.710,-13.175
120,1776896017.085,76.728,-13.128
121,1776896017.085,76.747,-13.082
122,1776896017.085,76.765,-13.035
123,1776896017.085,76.784,-12.989
124,1776896017.085,76.802,-12.942
125,1776896017.085,76.821,-12.896
126,1776896017.085,76.839,-12.850
127,1776896017.085,76.858,-12.803
128,1776896017.085,76.876,-12.757
129,1776896017.085,76.895,-12.710
130,1776896017.085,76.914,-12.664
131,1776896017.085,76.932,-12.618
132,1776896017.085,76.951,-12.571
133,1776896017.085,76.969,-12.525
134,1776896017.085,76.988,-12.478
135,1776896017.085,77.007,-12.432
136,1776896017.085,77.025,-12.386
137,1776896017.085,77.044,-12.339
138,1776896017.085,77.063,-12.293
139,1776896017.085,77.081,-12.246
140,1776896017.085,77.100,-12.200
141,1776896017.085,77.167,-12.133
